,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
190,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.95,-2.36,0,0,
191,Texas,1902,1914,13,109,78,25,6,.743,0,0,0,0,,7.38,-2.12,0,0,record adjusted to 79-25-5 by NCAA
192,Oklahoma,1903,1914,6,59,38,17,4,.678,0,0,0,0,,4.75,-3.43,0,0,
193,Texas A&M,1903,1914,12,99,71,22,6,.747,0,0,0,0,,4.62,-4.57,0,0,
194,Arkansas,1906,1914,9,78,45,29,4,.603,0,0,0,0,,0.55,-3.96,0,0,
195,Rice,1914,1914,1,8,3,2,3,.563,0,0,0,0,,-5.46,-2.08,0,0,
196,Baylor,1903,1914,11,92,38,43,11,.473,0,0,0,0,,-6.21,-4.75,0,0,record adjusted to 38-44-10 by NCAA
197,Kansas State,1912,1912,1,10,8,2,0,.800,0,0,0,0,,3.63,-3.87,0,0,
198,Swarthmore,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.32,-1.34,0,0,
199,Dickinson,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.35,-3.71,0,0,
200,Colorado,1902,1909,8,64,45,14,5,.742,0,0,0,0,,6.39,-3.17,0,1,
201,Colorado Mines,1902,1909,8,46,29,11,6,.696,0,0,0,0,,2.51,-3.56,0,0,
202,Denver,1902,1909,8,68,32,33,3,.493,0,0,0,0,,-3.09,-2.90,0,1,
203,Wyoming,1905,1909,2,15,6,9,0,.400,0,0,0,0,,-8.19,-3.33,0,0,
204,Utah,1905,1908,4,28,19,8,1,.696,0,0,0,0,,3.90,-4.43,0,0,
205,Iowa State,1895,1907,10,90,54,31,5,.628,0,0,0,0,,2.83,-3.26,0,0,
206,Grinnell,1899,1907,8,75,38,31,6,.547,0,0,0,0,,-3.97,-2.39,0,0,
207,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
208,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
209,Drury,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
210,Kansas,1901,1906,6,61,40,16,5,.697,0,0,0,0,,2.73,-4.22,0,0,
211,Williams,1886,1906,21,211,107,90,14,.540,0,0,0,0,,1.15,0.03,0,0,
212,Amherst,1877,1906,25,239,108,110,21,.496,0,0,0,0,,-1.20,-0.20,0,0,
